PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Alteneiji, E				Alteneiji, Ebtesam			Value changes in gender roles: Perspectives from three generations of Emirati women	COGENT SOCIAL SCIENCES												Intergenerational value change, influenced by technological advancements, economic development, formal education, and urbanization, becomes especially complex when it occurs during times of rapid change, as in the case of the United Arab Emirates (UAE). Through the lens of social change and human development theory, heavily constructed in the Gemeinschaft/Gesellschaft paradigm, this focused ethnography explored the push and pull of traditional boundaries within a collectivist society. Participants in this study (N = 24) were members of eight family triads of grandmothers, mothers, and daughters who represented eight different Emirati tribes from four cities in the UAE. Data were collected during semi-structured interviews using prompts and vignettes and through observation and the generation of field notes. Thematic analysis revealed evidence of cultural value change for gender equity and roles, family connectedness, and family relatedness. The findings underscore the need to support Emirati women as they navigate value change and try to rectify often conflicting role expectations.																			2331-1886					DEC 31	2023	9	1							2184899	10.1080/23311886.2023.2184899	http://dx.doi.org/10.1080/23311886.2023.2184899													WOS:000943485500001
C	Rastvortseva, S		Dvoulety, O; Lukes, M; Misar, J		Rastvortseva, Svetlana			PATH DEPENDENCE AND REGIONAL PATHS OF PROCESS CHANGES IN THE RUSSIAN INDUSTRY	PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE INNOVATION MANAGEMENT, ENTREPRENEURSHIP AND SUSTAINABILITY (IMES 2019)					7th International Conference on Innovation Management, Entrepreneurship and Sustainability (IMES)	MAY 30-31, 2019	Univ Econ, Prague, CZECH REPUBLIC	Univ Econ, Fac Business Adm, Dept Entrepreneurship, Comenius Univ, Fac Management, Linnaeus Univ, Sch Business & Econ, Corvinus Univ Budapest, European Council Small Business & Entrepreneurship, JEMI, CESKA Sporitelna	Univ Econ			Purpose: The regional economy depends on the structure of industrial production which has been established earlier. This study makes it possible to determine the hi-tech spheres in which the entrepreneurship is going to develop more successfully. The purpose of the investigation is to determine the technological proximity of the industrial production branches with the high-tech economy sector for further defining the egress from the previous development path. Design/methodology/approach: In order to determine possible egress of the region from the previous development trajectory there has been proposed a method of proximity evaluation between the high-tech sector and the existing structure of industrial production in the region. The characteristics of high technologies relatedness to other industry branches in the Russian regions have been defined. Findings: For the Russian regions it was determined that less than 30% of sub-branches can be considered as connected with the high technology sector - 25%. The regions having the comparative advantages in the high-tech types of industry and sectors related thereto have been revealed. We have demonstrated that individual regions can progress through investment into interregional connections and entrepreneurship domestic innovations. Research/practical implications: Considered as the investigatory contribution of the paper can be the alternative proposed to the comparative advantage index in the form of a localization coefficient to be used at evaluation of the technological proximity of industrial branches. The results of this study can be of benefit to representatives of the regional managerial bodies in the course of the economic policy development in the sphere of entrepreneurship. Originality/value: Proposed in the article is a method for evaluation of technological proximity of industry branches which differs from the traditional use of the localization coefficient. The calculated proximity indexes make it possible to determine such high-tech industries to the development of which there are the necessary prerequisites in the region, i.e. the technologically similar industrial production is under development.					Rastvortseva, Svetlana/AAS-8915-2020; Rastvortseva, Svetlana N/H-4308-2016	Rastvortseva, Svetlana/0000-0002-1599-359X; Rastvortseva, Svetlana N/0000-0002-1599-359X															978-80-245-2316-3				2019							760	770																WOS:000518586600060
J	Lessard, S				Lessard, Sabin			Effective Game Matrix and Inclusive Payoff in Group-Structured Populations	DYNAMIC GAMES AND APPLICATIONS												We show that a matrix game within groups in a finite-island model is effectively equivalent to a matrix game in a well-mixed population. The effective game matrix is a sum of interaction effects minus competition effects, weighted by identity measures involving up to three individuals. These identity measures are computed in the absence of selection but depend on the selection regime and the dispersal pattern: differential viability or fertility, hard selection or soft selection, uniform dispersal or local extinction followed by uniform recolonization. Hard selection, which allows for group selection, understood as differential contributions of groups, reduces competition within groups compared to soft selection. Moreover, the reduction is more pronounced in the case of uniform dispersal than in the case of local extinction. Fertility differences add competition effects between an individual and itself. A personal inclusive payoff can be defined from the effective game matrix and used to predict the increase or decrease in frequency of a mutant strategy. However, this personal inclusive payoff is generally frequency-dependent and its mean does not necessarily increase over time.																			2153-0785	2153-0793				JUN	2011	1	2					301	318		10.1007/s13235-011-0014-7	http://dx.doi.org/10.1007/s13235-011-0014-7													WOS:000208819100005
J	Casado-Robles, C; Mayorga-Vega, D; Guijarro-Romero, S; Viciana, J				Casado-Robles, Carolina; Mayorga-Vega, Daniel; Guijarro-Romero, Santiago; Viciana, Jesus			Effect of a Sport Education-based teaching unit in Physical Education on high school students' social networks and quantitative sociometry scores: A cluster randomized control trial	REVISTA DE PSICODIDACTICA												The present study aimed: (a) to examine the effect of the Sport Education-based teaching unit on students' sociometric status and quantitative relationship indices from a macro-analysis perspective (classroom-group level); and (b) to study the effect of the program on students' relationships using a quantitative and visual analysis from a micro-analysis perspective (within the Sport Education subgroup teams level) in the Physical Education setting. One hundred and sixty-five high school students (46.7% females; M-age = 14.0 +/- 1.1 years old) from six pre-established classes were cluster-randomly assigned into the experimental (n = 108) or control groups (n = 57). Both groups carried out a six-week intervention program (two Physical Education lessons a week). The experimental group followed the Sport Education model, while the control group methodology was based on direct instruction. Results of the Multilevel Linear Model showed that there were no significant differences in students' sociometric indices nor sociometric status from a macro-analysis perspective. However, the results of the McNemar's test and the visual analysis of social networks within-teams in the experimental group showed that the students' relationships changed favorably within-team after the Sport Education program increased positive nominations and reduced negative nominations. In conclusion, these results suggest that the Sport Education model facilitates initiating new positive social relationships and removing negative relationships in within-team students. (C) 2021 Published by Elsevier Espana, S.L.U. on behalf of Universidad de Pais Vasco.					Romero, Santiago Guijarro/AAO-7533-2020	Romero, Santiago Guijarro/0000-0003-2519-8554													1136-1034	2254-4372				JAN-JUN	2022	27	1					66	75		10.1016/j.psicod.2021.09.002	http://dx.doi.org/10.1016/j.psicod.2021.09.002		JAN 2022											WOS:000742136700008
C	El Vaigh, CB; Goasdoué, F; Gravier, G; Sébillot, P			Assoc Comp Machinery	El Vaigh, Cheikh Brahim; Goasdoue, Francois; Gravier, Guillaume; Sebillot, Pascale			Using Knowledge Base Semantics in Context-Aware Entity Linking	DOCENG'19: PROCEEDINGS OF THE ACM SYMPOSIUM ON DOCUMENT ENGINEERING 2019					19th ACM Symposium on Document Engineering (DocEng)	SEP 23-26, 2019	Weizenbaum Inst, Berlin, GERMANY	Assoc Comp Machinery, Fraunhofer FOKUS, Adobe, Callas Software, ArcoInfo	Weizenbaum Inst			Entity linking is a core task in textual document processing, which consists in identifying the entities of a knowledge base (KB) that are mentioned in a text. Approaches in the literature consider either independent linking of individual mentions or collective linking of all mentions. Regardless of this distinction, most approaches rely on the Wikipedia encyclopedic KB in order to improve the linking quality, by exploiting its entity descriptions (web pages) or its entity interconnections (hyperlink graph of web pages). In this paper, we devise a novel collective linking technique which departs from most approaches in the literature by relying on a structured RDF KB. This allows exploiting the semantics of the interrelationships that candidate entities may have at disambiguation time rather than relying on raw structural approximation based on Wikipedia's hyperlink graph. The few approaches that also use an RDF KB simply rely on the existence of a relation between the candidate entities to which mentions may be linked. Instead, we weight such relations based on the RDF KB structure and propose an efficient decoding strategy for collective linking. Experiments on standard benchmarks show significant improvement over the state of the art.																					978-1-4503-6887-2				2019										10.1145/3342558.3345393	http://dx.doi.org/10.1145/3342558.3345393													WOS:000558062400008
J	Ayiran, N				Ayiran, Nezih			ARCHITECTURAL CONTINUITY TOWARDS CULTURAL SUSTAINABILITY IN BODRUM	OPEN HOUSE INTERNATIONAL												Mediterranean architecture is considered the predecessor of the modern concept of "bioclimatic" sustainable design due to its climate reactive attitude (Coch H. 1996, Vissilia, A.M. 2009). Another aspect which renders it to be associated with the notion of modern sustainability is the employment of recyclable materials such as natural stone and wood. The vernacular architecture of Bodrum peninsula located in southwestern Turkey bears the typical characteristics of Mediterranean architecture. Since the 1970s, Bodrum has been attracting the attention of local and foreign tourists. The "architectural pollution" created by tourism facilities paradoxically devastates the natural and unique architectural characteristics of Bodrum which attract the attention of tourists. In this article, the primary focus will be the residential architecture in Bodrum due to its quite dominant typology among tourism facilities. However, the local building regulations aiming to protect natural values and architectural identity and the sensitive attitudes of some architects about preserving architectural identity and visual ecology can be considered positive aspects with regards to the harmonious architectural development of the region. Visual ecology seems generally more vital than biophysical ecology in terms of sustainable tourism economy, and tourism, is the most important sector in Bodrum. In a touristic region such as Bodrum, cultural and economic sustainability are interrelated. Today, research related to sustainability focuses primarily on energy saving and relevant technological inventions and as a result, issues such as cultural expression, contextual connection, identity formation, local differences and changes do not get their deserved places in the sustainability value setting. This paper aims to detect some clues about the outline of the residential architecture within the context of cultural sustainability in Bodrum in the light of residential architecture samples.																			0168-2601					JUN	2011	36	2					82	96																WOS:000292018400009
J	Charatsari, C; Lioutas, ED; Koutsouris, A				Charatsari, Chrysanthi; Lioutas, Evagelos D.; Koutsouris, Alex			Farmers' motivational orientation toward participation in competence development projects: a self-determination theory perspective	JOURNAL OF AGRICULTURAL EDUCATION & EXTENSION												Purpose: In this study, we use a self-determination theory (SDT) approach to understand farmers' attitudes toward, and intentions for, participation in competence development projects (CDP). Design/methodology/approach: By applying SDT, we developed two measures. The first one assessed the degree to which the three basic human psychological needs motivate farmers to engage in CDP, and the second concerned farmers' intrinsic and extrinsic motivation to seek knowledge through participation in CDP. Using data from two samples of farmers, we examined the effect of SDT needs and the influence of the different regulatory styles on individuals' decision to participate in CDP. Findings: Our findings indicated that participation inCDP is guided by the most internal forms of human motivation (identified, integrated, and intrinsic motivation), and that deficits in the needs for autonomy and competence predict farmers' decision to participate in CDP. Practical implications: These results stress the importance of designing CDP that promote self-directedness, emphasise choice rather than rewards, and generate the conditions that support farmers' autonomy. Theoretical implications: Our work suggests that the integration of social psychology into extension/education research can paint a more detailed picture of the way farmers interact with extension/education services. Originality/value: To the best of our knowledge, this is the first study that uses an SDT framework to examine farmers' motivation toward participation in CDP. Hence, this research opens a new realm for extension/education research, while it also contributes to the SDT literature by examining the role of self-determined motivation in a different life domain.					Lioutas, Evagelos/AGK-8015-2022; koutsouris, alex/AAA-8826-2019; Lioutas, Evagelos/W-9206-2019; Charatsari, Chrysanthi/X-2312-2019	Lioutas, Evagelos/0000-0003-3784-9553; Charatsari, Chrysanthi/0000-0002-9160-3469													1389-224X	1750-8622					2017	23	2					105	120		10.1080/1389224X.2016.1261717	http://dx.doi.org/10.1080/1389224X.2016.1261717													WOS:000396666000003
J	Tchapchet-Tchouto, JE; Duthil, G; Tchouapi, RPM; Kelly, AM; Ketu, I				Tchapchet-Tchouto, Jules-Eric; Duthil, Gerard; Tchouapi, Rosy Pascale Meyet; Kelly, Arsene Mouongue; Ketu, Isaac			The Environmental Kuznets Curve Under Norden "Green Deal" and Action Plans in Nordic European Countries	JOURNAL OF THE KNOWLEDGE ECONOMY												This article assesses the path of environmental degradation under the environmental Kuznets curve framework in Nordic European countries using data spanning the period 2005-2019 and employing the ordinary least squares techniques. The findings reveal evidence of a U-shaped structure; meaning, economic growth during the study period under the Norden "Green Deal and Action Plans" impulse remains on a pathway in which environmental quality is not yet improved. Further, there is no leveraging effect that changes the U-shaped structure into and inverted U-shaped. However, Nordic countries are characterized by the existence of the Pollution Halo Effect. Indeed, foreign direct investment inflows lead to increase use of advanced technologies and improved management practices. These results are robust to the use of different techniques such as alternative dependent variables, addition of control variables in response of the likely attrition bias, test of non-belonging to Eurozone features, and quantile analysis. As policy implications, Nordic European countries should amplify environmental management practices and policies to achieve low carbon footprint production or consumption in their economies, as well as pursue on a long-term basis, initiatives for a Green Nordic label, and energy efficiency as settled in the Norden Environmental Action Plan.						Kelly, Arsene Mouongue/0000-0003-2509-4659; Tchapchet-Tchouto, Jules-Eric/0000-0001-6904-0789													1868-7865	1868-7873				2024 FEB 8	2024										10.1007/s13132-024-01744-z	http://dx.doi.org/10.1007/s13132-024-01744-z		FEB 2024											WOS:001157134900001
J	Gupta, V; Rubalcaba, L				Gupta, Varun; Rubalcaba, Luis			Competency-Industry Relatedness (C-IR) Framework for Sustained Business Growth in Startups during and Beyond Pandemic: Myths and Lessons from Publicly Funded Innovative Startups	SUSTAINABILITY												Context: The coronavirus disease 2019 (COVID-19) pandemic led to a turbulent business environment, resulting in market uncertainties, frustrations, and rumors. Wrongly held beliefs-or myths-can hinder startups from turning new market opportunities into their favor (for example, by failing at diversification decisions) or undertaking wrong business decisions, e.g., diversifying in industries that have products of no real market value). Objectives: The objective of the paper is to identify the beliefs that drive the business decisions of startups in a pandemic and to isolate those beliefs that are merely myths. Further, this paper proposes strategic guidelines in the form of a framework to help startups make sound decisions that can lead to market success. Method: The two-step research method involved multiple case studies with five startups based in India, France, Italy, and Switzerland, to identify perceptual beliefs that drove strategic business decisions, followed by a case study of 36 COVID-19-solution focused startups, funded by the European Union (EU). The findings were validated through a survey that involved 102 entrepreneurs. The comparative analysis of two multiple case studies helped identify beliefs that were merely "myths"; myths that drove irrational strategic decisions, resulting in business failures. Results: The results indicate that startups make decisions in pandemic situations that are driven by seven myths, pertaining to human, intellectual, and financial resources. The decision on whether to diversify or continue in the same business operation can be divided into four strategic options of the Competency-Industry Relatedness (C-IR) framework: ignore, delay, phase-in, and diversify. Diversification in the same (or different industry) is less risky for startups if they have the skills, as needed, to diversify in related industries. Diversification in related industries helps startups leverage their experiences and learning curves (those associated with existing product lines) to adapt their existing products in new markets, or utilize their technologies to solve new problems via new products. The desired outcome for these startups should be sustainable business growth-to meet sustainability goals by contributing to the society and the economy. Conclusion: The C-IR framework is a strategic guide for startups to make business decisions based on internal factors, rather than myths. Accurately assessing skill diversity and the nature of new industries (or markets) will help startups leverage their existing resources optimally, without the need for (pricey) external funding. This will foster sustained business growth resulting in a nation economic development. Knowledge transfer from the Innovation ecosystem will further strengthen the C-IR framework effectiveness.					Rubalcaba, Luis/AAQ-8219-2020; Gupta, Varun/Y-7471-2019; Rubalcaba, Luis/AAW-9204-2020	Gupta, Varun/0000-0003-2824-3402; Rubalcaba, Luis/0000-0001-5724-9091														2071-1050				MAY	2021	13	9							4632	10.3390/su13094632	http://dx.doi.org/10.3390/su13094632													WOS:000650892200001
J	Wang, JQ; Li, S; Li, HZ				Wang, Jianqiao; Li, Sai; Li, Hongzhe			A Regression-Based Approach to Robust Estimation and Inference for Genetic Covariance	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION												Genome-wide association studies (GWAS) have identified thousands of genetic variants associated with complex traits, and some variants are shown to be associated with multiple complex traits. Genetic covariance between two traits is defined as the underlying covariance of genetic effects and can be used to measure the shared genetic architecture. The data used to estimate such a genetic covariance can be from the same group or different groups of individuals, and the traits can be of different types or collected based on different study designs. This article proposes a unified regression-based approach to robust estimation and inference for genetic covariance of general traits that may be associated with genetic variants nonlinearly. The asymptotic properties of the proposed estimator are provided and are shown to be robust under certain model misspecification. Our method under linear working models provides a robust inference for the narrow-sense genetic covariance, even when both linear models are mis-specified. Numerical experiments are performed to support the theoretical results. Our method is applied to an outbred mice GWAS dataset to study the overlapping genetic effects between the behavioral and physiological phenotypes. The real data results reveal interesting genetic covariance among different mice developmental traits. Supplementary materials for this article are available online.																			0162-1459	1537-274X				2023 NOV 14	2023										10.1080/01621459.2023.2261669	http://dx.doi.org/10.1080/01621459.2023.2261669		NOV 2023											WOS:001123565600001
J	Raiziene, S; Gabrialaviciute, I; Garckija, R; Silinskas, G				Raiziene, Soule; Gabrialaviciute, Ingrida; Garckija, Renata; Silinskas, Gintautas			Satisfaction of Basic Psychological Needs and Autonomous Motivation in School Context: A Test of Additive, Syneraistic, and Balance Hypotheses	CROATIAN JOURNAL OF EDUCATION-HRVATSKI CASOPIS ZA ODGOJ I OBRAZOVANJE												The present study examined the influence of the three basic psychological needs on autonomous motivation in educational settings in the light of additive, synergistic, and balance hypotheses. Participants were 679 high school students (M-age = 16.16,49.3% girls). The findings supported the additive hypothesis: all three needs had unique effects on autonomous motivation. The synergistic hypothesis was only partially supported: one two-way interaction between autonomy and competence had effect on autonomous motivation. A high level of satisfaction of the need for autonomy led to autonomous motivation regardless of satisfaction of the need for competence. However, competence was positively related to autonomous motivation only when the need for autonomy was low The balance hypothesis was also supported: balance in needs satisfaction had a significant effect in addition to additive and synergistic effects.																			1848-5189	1848-5197					2018	20	2					399	429		10.15516/cje.v20i2.2752	http://dx.doi.org/10.15516/cje.v20i2.2752													WOS:000454544000003
J	Hane-Weijman, E				Hane-Weijman, Emelie			Skill matching and mismatching: labour market trajectories of redundant manufacturing workers	GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY												While re-employment opportunities for redundant workers have been a much-debated topic in economic geography, the characteristics of these new employments and the medium-run effect of major lay-offs constitute a less explored field. The present paper investigates skill matching between the pre-redundancy job and the employment workers have five years after redundancy by studying the distance and direction of their labour market trajectories. By following 670 manufacturing workers made redundant in major layoffs in 2003, the present paper connects patterns of career mobility and underemployment to possible frictions connected to spatial and industrial mobility. The results indicate that moving some distance from the initial point of departure is correlated with upward mobility. This especially concerns moving to a related industry in the same region or moving to a new region, but within the same industry. Moving too great a distance, however, increases the risk of downward mobility. Moving to unrelated industries in general, but also to related industries in new regions, is associated with a higher risk of facing underemployment in the medium run. In conclusion, the longer-run labour market trajectories, in relation to both distance and direction, need to be addressed if we are to assess the outcome of redundancies.					Hane-Weijman Jansson, Emelie/JZE-3555-2024														0435-3684	1468-0467				JAN 2	2021	103	1					21	38		10.1080/04353684.2021.1884497	http://dx.doi.org/10.1080/04353684.2021.1884497		FEB 2021											WOS:000619060600001
J	Ristoski, P; Rosati, J; Di Noia, T; De Leone, R; Paulheim, H				Ristoski, Petar; Rosati, Jessica; Di Noia, Tommaso; De Leone, Renato; Paulheim, Heiko			RDF2Vec: RDF graph embeddings and their applications	SEMANTIC WEB												Linked Open Data has been recognized as a valuable source for background information in many data mining and information retrieval tasks. However, most of the existing tools require features in propositional form, i.e., a vector of nominal or numerical features associated with an instance, while Linked Open Data sources are graphs by nature. In this paper, we present RDF2Vec, an approach that uses language modeling approaches for unsupervised feature extraction from sequences of words, and adapts them to RDF graphs. We generate sequences by leveraging local information from graph sub-structures, harvested by Weisfeiler-Lehman Subtree RDF Graph Kernels and graph walks, and learn latent numerical representations of entities in RDF graphs. We evaluate our approach on three different tasks: (i) standard machine learning tasks, (ii) entity and document modeling, and (iii) content-based recommender systems. The evaluation shows that the proposed entity embeddings outperform existing techniques, and that pre-computed feature vector representations of general knowledge graphs such as DBpedia and Wikidata can be easily reused for different tasks.					Paulheim, Heiko/AAE-8132-2020; De Leone, Renato/AAR-6292-2020	Paulheim, Heiko/0000-0003-4386-8195; De Leone, Renato/0000-0001-9783-608X													1570-0844	2210-4968					2019	10	4					721	752		10.3233/SW-180317	http://dx.doi.org/10.3233/SW-180317													WOS:000488080900004
J	Arroyave, FJ; Goyeneche, OYR; Gore, M; Heimeriks, G; Jenkins, J; Petersen, AM				Arroyave, Felber J.; Goyeneche, Oscar Yandy Romero; Gore, Meredith; Heimeriks, Gaston; Jenkins, Jeffrey; Petersen, Alexander M.			ON THE SOCIAL AND COGNITIVE DIMENSIONS OF WICKED ENVIRONMENTAL PROBLEMS CHARACTERIZED BY CONCEPTUAL AND SOLUTION UNCERTAINTY	ADVANCES IN COMPLEX SYSTEMS												We develop a quantitative framework for understanding the class of wicked problems that emerge at the intersections of natural, social, and technological complex systems. Wicked problems reflect our incomplete understanding of interdependent global systems and the systemic risk they pose; such problems escape solutions because they are often ill-defined, and thus mis-identified and under-appreciated by communities of problem-solvers. While there are well-documented benefits to tackling boundary-crossing problems from various viewpoints, the integration of diverse approaches can nevertheless contribute confusion around the collective understanding of the core concepts and feasible solutions. We explore this paradox by analyzing the development of both scholarly (social) and topical (cognitive) communities - two facets of knowledge production studies here that contribute towards the evolution of knowledge in and around a problem, termed a knowledge trajectory - associated with three wicked problems: deforestation, invasive species, and wildlife trade. We posit that saturation in the dynamics of social and cognitive diversity growth is an indicator of reduced uncertainty in the evolution of the comprehensive knowledge trajectory emerging around each wicked problem. Informed by comprehensive bibliometric data capturing both social and cognitive dimensions of each problem domain, we thereby develop a framework that assesses the stability of knowledge trajectory dynamics as an indicator of wickedness associated with conceptual and solution uncertainty. As such, our results identify wildlife trade as a wicked problem that may be difficult to address given recent instability in its knowledge trajectory.					Heimeriks, Gaston/G-1057-2012; Petersen, Alexander/D-9243-2012; Gore, Meredith/AAY-4350-2020; Arroyave B., Felber J./AFQ-8843-2022; Arroyave, Felber/GPX-5101-2022	Petersen, Alexander/0000-0002-0955-3483; Gore, Meredith/0000-0002-2613-4715; Arroyave B., Felber J./0000-0003-1181-8222; Arroyave, Felber/0000-0003-1181-8222; Romero Goyeneche, Oscar Yandy/0000-0003-4564-2341													0219-5259	1793-6802				JUN	2021	24	3-4							2150005	10.1142/S0219525921500053	http://dx.doi.org/10.1142/S0219525921500053													WOS:000726780900001
J	Liu, HX; Nong, HF; Ren, H; Liu, K				Liu, Hongxiao; Nong, Huifu; Ren, Hai; Liu, Ke			The effect of nature exposure, nature connectedness on mental well-being and ill-being in a general Chinese population	LANDSCAPE AND URBAN PLANNING												Exposure to nature is associated with various mental health benefits. Nature connectedness (NC), a psychological construct that measures individuals' subjective sense of connection to nature, is found to influence the relationship between nature exposure and mental health, including well-being and ill-being. However, studies from non-Western cultures have only examined either nature exposure and mental health or NC and mental health, with little research investigating the relationship among all three in a single study. Based on a face-to-face survey in Guangzhou (N = 863), this study investigates the relationship among nature exposure (greenspace visitation frequency, duration, and greenspace accessibility), NC, and mental well-being and ill-being. Based on the results, NC is stronger than nature exposure in predicting mental well-being, while greenspace visitation frequency and duration are stronger than NC in predicting ill-being. Having a higher-than-average NC is associated with a 7% increase in feelings of worthwhileness, a 6.4% increase in life satisfaction, and a 2.5% decrease in depression risk. NC could function as both mediator and moderator, depending on the specific nature exposure-mental health link examined. Future studies are required to understand the complex interaction of nature exposure, NC, and mental health. Our study indicates that a shift in policymaking to enhance NC is recommended to achieve the related psychological benefits. To this end, research on the influencing factors of NC (e.g., characteristics of nature experiences) and effective interventions to cultivate NC are required.					liu, hongxiao/ABI-1862-2020	Ren, Hai/0000-0002-3744-8007; Nong, Huifu/0000-0001-8016-4678													0169-2046	1872-6062				JUN	2022	222								104397	10.1016/j.landurbplan.2022.104397	http://dx.doi.org/10.1016/j.landurbplan.2022.104397		MAR 2022											WOS:000795155600002
J	Pashos, A				Pashos, Alexander			Asymmetric Caregiving by Grandparents, Aunts, and Uncles and the Theories of Kin Selection and Paternity Certainty: How Does Evolution Explain Human Behavior Toward Close Relatives?	CROSS-CULTURAL RESEARCH												Evolutionary theories explain altruism between related individuals, not only for nonhuman animals but also humans themselves. In sociobiology and evolutionary psychology, the supposedly universally found stronger matrilineal kin caregiving by grandparents, aunts, and uncles is often explained by paternity uncertainty in the male descent line. The present article provides an overview of theories and results of the evolutionary research. I will focus, in particular, on the universal caregiving pattern as well as on cultural variety in kin caregiving, the role of actual paternity certainty in the society, theoretical inconsistencies, and nonconsanguineous step relationships. From the analysis of the empirical data, I will conclude that the paternity certainty hypothesis is in fact not a very suitable explanation for the asymmetric kin caregiving found in humans. I will discuss how human behavior toward relatives, in particular grandchildren, can be alternatively explained from an evolutionary perspective.																			1069-3971	1552-3578				JUL	2017	51	3	2		SI		263	284		10.1177/1069397117697671	http://dx.doi.org/10.1177/1069397117697671													WOS:000403180300003
J	Kuem, J; Khansa, L; Kim, SS				Kuem, Jungwon; Khansa, Lara; Kim, Sung S.			Prominence and Engagement: Different Mechanisms Regulating Continuance and Contribution in Online Communities	JOURNAL OF MANAGEMENT INFORMATION SYSTEMS												Online communities have suffered from their members' intermittent, dormant, or nonexistent participation. We propose that prominence, which refers to the salience of community members' psychological proximity to their community, differs from the engagement construct, which denotes a psychological dedication to behave prosaically toward other community members. Whereas engagement has been increasingly examined as a driver of online community behavior, the role of prominence has received a minimal amount of attention in the literature. Drawing on self-determination theory, we developed a framework that proposes the prominence construct as a phenomenon distinctive from engagement in its nature, formation, and behavioral outcomes. Our findings based on two studies indicate that the proposed model with prominence performs considerably better than the existing model with only engagement. Our conceptual model contributes to Information Systems research by laying a strong theoretical foundation to differentiate between the behavioral paths of the autonomous prominence construct and its controlled engagement counterpart.						KUEM, JUNGWON/0000-0003-4672-0452													0742-1222	1557-928X				JAN 2	2020	37	1					162	190		10.1080/07421222.2019.1705510	http://dx.doi.org/10.1080/07421222.2019.1705510													WOS:000517366200007
J	Taisarinova, A; Loprencipe, G; Junussova, M				Taisarinova, Aislu; Loprencipe, Giuseppe; Junussova, Madina			The Evolution of the Kazakhstani Silk Road Section from a Transport into a Logistics Corridor and the Economic Sustainability of Regional Development in Central Asia	SUSTAINABILITY												Central Asian countries attract investment in transport infrastructure to rebuild the Silk Road paths and enjoy economic benefits from the participation in international trade. The Kazakhstani government approached the Russian and Chinese governments intending to join the Western Europe-Western China (WE-WC) initiative to boost the country's regional development. The paper aims to assess how the WE-WC transport corridor affected the economic potential of linking cities and regions starting from the quality of transport infrastructure and leading to their export potential. The study's findings showed that the Kazakhstan section of the WE-WC corridor was at an early stage of transformation from a transport into an economic corridor. While the Russia-Uzbekistan section continues to serve mainly a transit function and operate at the level of transport infrastructure, the China-Kyrgyzstan section has started evolving from the level of multimode transport corridor to the level of logistics corridor. The economic sustainability of the WE-WC linking mining and agricultural regions of Kazakhstan still comes into question and depends on the government's further region-specific policy actions.					Taisarinova, Aislu/AAU-3578-2020; Junussova, Madina/HLW-4671-2023; Junussova, Madina/HLW-4624-2023; Giuseppe, Loprencipe/C-2223-2013	Taisarinova, Aislu/0000-0002-2348-009X; Junussova, Madina/0000-0003-2623-4000; Giuseppe, Loprencipe/0000-0003-1003-8849														2071-1050				AUG	2020	12	15							6291	10.3390/su12156291	http://dx.doi.org/10.3390/su12156291													WOS:000559032300001
J	Chen, YJ; Hassink, R				Chen, Yijia; Hassink, Robert			The geography of the emergence of online peer-to-peer lending platforms in China: an evolutionary economic geography perspective	INTERNATIONAL JOURNAL OF URBAN SCIENCES												This article discusses the geography of the emergence of online peer-to-peer (P2P) lending platforms in China. Moving beyond conventional approaches in financial geography, we propose a new analytical framework drawing on evolutionary economic geography. We find that China's P2P industry is highly concentrated in Beijing, Shenzhen, Shanghai, Hangzhou, and Guangzhou. These cities have possessed competent financial and Internet sectors before the emergence of P2P industry, and thus provide capabilities that P2P industry could build on. Moreover, experienced entrants, namely new firms founded by pre-existing firms and their employees from technologically related industries, play a crucial role in transferring capabilities from pre-existing financial and Internet capabilities into the P2P industry. In addition, the emergence of the P2P industry experienced three stages characterized by constraining environments with uncertainty coming from customers (2007-2012), enabling environments with inclusive regulations (2013-2015), and constraining environments with tight regulations (2016-2019).					Hassink, Robert/U-5311-2019; 陈, 奕嘉/HKW-2683-2023; chen, yijia/KGM-4378-2024; Chen, Yijia/KGL-5541-2024	Hassink, Robert/0000-0001-7524-4577; CHEN, YIJIA/0000-0002-9295-5028													1226-5934	2161-6779				APR 3	2022	26	2					351	371		10.1080/12265934.2021.1879664	http://dx.doi.org/10.1080/12265934.2021.1879664		FEB 2021											WOS:000614462300001
