PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Bashir, MF; Ma, BJ; Hussain, HI; Shahbaz, M; Koca, K; Shahzadi, I				Bashir, Muhammad Farhan; Ma, Benjiang; Hussain, Hafezali Iqbal; Shahbaz, Muhammad; Koca, Kemal; Shahzadi, Irum			Evaluating environmental commitments to COP21 and the role of economic complexity, renewable energy, financial development, urbanization, and energy innovation: Empirical evidence from the RCEP countries	RENEWABLE ENERGY												Despite extensive research to address the impact of environmental reforms under the Paris Climate Agreement, current literature has failed to provide sufficient insights into Regional Comprehensive Economic Partnership (RCEP) countries. To this end, the current study attempts to address the impact of the economic complexity on environmental quality in the presence of renewable energy consumption, financial development, urbanization and energy innovation in RCEP countries from 1990 to 2019. Our empirical estimates confirm a significant association between environmental quality, economic complexity index, renewable energy consumption, financial development, urbanization and energy innovation in the short-run and long run. Based on extensive econometric analysis (CS-ARDL, AMG, PMG, FMOLS, and DOLS), we conclude that economic complexity, renewable energy, and energy innovation effectively mitigate environmental degradation. At the same time, financial development and urbanization have an adverse impact on the environment. These findings have extensive policy implications for policymakers and environmental stakeholders, who are aiming to achieve sustainable energy policy and economic growth to meet the environmental commitments under Paris Climate Agreement.(c) 2021 Elsevier Ltd. All rights reserved.					Bashir, Muhammad Farhan/R-3086-2019	Bashir, Muhammad Farhan/0000-0001-5103-4639; KOCA, KEMAL/0000-0003-2464-6466; Shahzadi, Irum/0000-0001-5476-4012													0960-1481	1879-0682				JAN	2022	184								541	10.1016/j.renene.2021.11.102	http://dx.doi.org/10.1016/j.renene.2021.11.102													WOS:000775059100004
J	Balsalobre-Lorente, D; Ibáñez-Luzón, L; Usman, M; Shahbaz, M				Balsalobre-Lorente, Daniel; Ibanez-Luzon, Lucia; Usman, Muhammad; Shahbaz, Muhammad			The environmental Kuznets curve, based on the economic complexity, and the pollution haven hypothesis in PIIGS countries	RENEWABLE ENERGY												This study extends the debate on environmental performance in PIIGS countries by examining the dynamic association between economic complexity, foreign direct investment, renewable energy, urbanization process, and carbon emissions from1990-2019. The dynamic ordinary least square (DOLS) estimator is applied for empirical analysis. The empirical evidence reveals the association between economic complexity and CO2 emissions is inverted-U and further N-shaped relationship. This confirms the presence of environmental Kuznets curve (EKC) hypotheses in the region. The empirical results also authenticate the pollution haven hypothesis since high FDI is the culprit to increase environmental degradation in the PIIGS economies. The participation of renewable energy is found to inhibit CO2 emissions. Urbanization process exerts huge pressure on environmental quality. Finally, the findings of Dumitrescu-Hurlin causality test explores a bidirectional causal link between economic complexity and CO2 emissions. These findings advocate policymakers to propose comprehensive energy and economic policies by targeting cleaner production exercises, not only for environmental quality but also to accomplish the objectives of 17 sustainable development goals targets. (c) 2021 Elsevier Ltd. All rights reserved.					Usman, Muhammad/KIG-9930-2024; Balsalobre-Lorente, Daniel/AAB-4817-2019; Usman, Muhammad/AEF-0989-2022	Balsalobre-Lorente, Daniel/0000-0002-6099-7899; Usman, Muhammad/0000-0002-6131-2118													0960-1481	1879-0682				FEB	2022	185						1441	1455		10.1016/j.renene.2021.10.059	http://dx.doi.org/10.1016/j.renene.2021.10.059		JAN 2022											WOS:000778567400007
J	Yu, JL; Ju, F; Wahab, M; Agyekum, EB; Matasane, C; Uhunamure, SE				Yu, Jiangling; Ju, Feng; Wahab, Muhammad; Agyekum, Ephraim Bonah; Matasane, Clement; Uhunamure, Solomon Eghosa			Estimating the Effects of Economic Complexity and Technological Innovations on CO<sub>2</sub> Emissions: Policy Instruments for N-11 Countries	SUSTAINABILITY												Every year, the problem of environmental degradation becomes more severe globally. It is widely believed that technological innovation and economic complexity are understood as structural transformations toward a more sophisticated and knowledge-based means of production as a viable way to fight against climate change. However, the studies integrating these two elements into the same environmental policy framework are still scant. With this in view, this study investigates the dynamic linkage between economic complexity, technological innovations, economic growth, and nonrenewable energy on CO2 emissions in the N-11 nations. This study uses data from 1980 to 2020. It applies the recent method of cross-sectional autoregressive distributed lags (CS-ARDL). The cointegration method shows a strong association among the variables. The findings of the CS-ARDL show that technological innovations are negatively related to environmental degradation, while nonrenewable energy deteriorates the environment by escalating CO2 emissions. This study fails to validate the EKC in the N-11 nations. In addition, economic complexity is helping these economies to achieve environmental sustainability by lowering environmental pollution. Based on the findings, this work recommends that the N-11 countries restructure their industrial sectors with low-carbon energy sources. For this purpose, these countries should increase their research and development budgets. This will help in launching environmentally friendly energy sources in their economic development model.					Uhunamure, Solomon/GPX-0728-2022; JU, Feng/I-8437-2016; Agyekum, Ephraim Bonah/AAS-8919-2020	Uhunamure, Solomon/0000-0002-8319-5143; JU, Feng/0000-0003-4137-5928; Agyekum, Ephraim Bonah/0000-0002-6947-4349; matasane, clement/0000-0001-6407-6088														2071-1050				DEC	2022	14	24							16856	10.3390/su142416856	http://dx.doi.org/10.3390/su142416856													WOS:000904147900001
J	Nguyen, CP; Su, TD				Canh Phuc Nguyen; Thanh Dinh Su			Economic integration and economic complexity: The role of basic resources in absorptive capability in 40 selected developing countries	ECONOMIC ANALYSIS AND POLICY												This study investigates the influences of trade openness and FDI inflows on domestic economic complexity. In particular, the study analyses the roles of human capital, Internet usage, and energy poverty in these relationships. The analysis is carried out for two indices of economic complexity (ECI and ECI+) in a sample of 40 selected developing countries from 2002 to 2017. Applying a two-step system generalised method of moments estimate to deal with endogeneity, and predictive margins analysis to analyse the catalytic role of basic resources, four interesting findings emerge. First, trade openness has a positive impact on economic complexity, while FDI inflows have a negative impact. Second, human capital accumulation accelerates the effect of trade openness but does not have a catalytic role in the effect of FDI inflows. Third, the development of the Internet is found to be a new and important resource that boosts the positive impact of trade openness and, notably, turns positive the negative impact of FDI inflows. Fourth, the role of energy poverty reduction is mostly the same as Internet development. The alleviation of energy poverty and Internet development seem to be good policies for enabling developing countries to absorb spillovers from economic integration. (C) 2021 Economic Society of Australia, Queensland. Published by Elsevier B.V. All rights reserved.					Canh, NGUYEN Phuc/AAG-8627-2019; Su Dinh, Thanh/Q-3915-2019	Canh, NGUYEN Phuc/0000-0001-8467-5010; Su Dinh, Thanh/0000-0003-2344-6315													0313-5926					SEP	2021	71						609	625		10.1016/j.eap.2021.07.001	http://dx.doi.org/10.1016/j.eap.2021.07.001		JUL 2021											WOS:000729159100015
J	Barker, J				Barker, Justin			Alone together: the strategies of autonomy and relatedness in the lives of homeless youth	JOURNAL OF YOUTH STUDIES												This article proposes that the social lives of homeless young people are structured by two strategies: autonomy and relatedness. The strategy of autonomy is the prevailing modus operandi of homeless young people who respond to the uncertainty and instability of their lives with a defiant independence and self-reliance. However, their propensity to self-interested autonomy exacerbates a sense of isolation, alienation and loneliness, which leads to the strategy of relatedness. These strategies are responses to instability that take divergent, and even contradictory, approaches to dealing with the conditions of youth homelessness. There is a complex interaction between these two strategies, with homeless young people's social lives and the conditions of their lives structured by the seeming incompatibility of autonomy and relatedness. This article draws on ethnographic research and 12 months of participant observation to provide an understanding of the strategies of autonomy and relatedness as they pertain to the lives to homeless young people. The strategies of autonomy and relatedness capture the recurring themes and organising sentiments in the lives of homeless young people whilst still acknowledging the diverse, inventive and unlimited variety of practices enacted by this heterogeneous group of people.					Barker, Justin/HJY-3087-2023; Barker, Justin/C-6799-2016	Barker, Justin/0000-0002-8782-4373													1367-6261	1469-9680					2014	17	6					763	777		10.1080/13676261.2013.853874	http://dx.doi.org/10.1080/13676261.2013.853874													WOS:000339097800005
J	Gómez-Zaldívar, M; Gómez-Zaldívar, F				Gomez-Zaldivar, Manuel; Gomez-Zaldivar, Fernando			Economic structure and business cycle synchronization: Evidence from Mexico's states	INVESTIGACIONES REGIONALES-JOURNAL OF REGIONAL RESEARCH												According to recent studies, the growing economic integration between Mexico and the United States, that resulted from the North American Free Trade Agreement (NAFTA), heterogeneously transformed the economic structure of Mexico's states. This study provides evidence that this, in turn, altered the degree and nature of economic synchronization among them. Furthermore, it shows evidence of an increasingly significant positive relationship from 1994 on between economic synchronization and the level of sophistication of states' economic structures [measured by the Economic Complexity Index (ECI)]. As economic integration increases, it becomes easier for shocks to be transmitted between state economies with similar economic structures, either because their characteristics make them more sensitive to the same kinds of shocks or simply because they are so closely linked. Our results help provide a greater understanding of the states' economic evolution during the period analyzed.					Gómez-Zaldívar, Fernando/GNP-0325-2022	Gomez-Zaldivar, Fernando/0000-0001-8103-8614													1695-7253	2340-2717					2024		58								10.38191/iirr-jorr.24.007	http://dx.doi.org/10.38191/iirr-jorr.24.007													WOS:001153794100003
J	Ben Saad, M				Ben Saad, Myriam			The Effect of Economic Complexity on Air Pollution: Another approach to the Environmental Curve of Kuznets	REGION ET DEVELOPPEMENT												The focus of this paper is to highlight, beyond the effect of GDP per capita, the major role of the evolution of structural transformations on the level of air pollution (CO2 emissions per capita), taking again the model of the Kuznets environmental curve and estimating it on a sample of 133 countries from 1984 to 2014. The influence of structural changes on pollution is evaluated in an original way by an index of economic complexity (ICE). The relative decline in pollution from a certain threshold, particularly noticeable in high-income countries, is more a result of far-reaching structural changes than of development, although there may be some link between them. Thus, the increase in economic complexity makes it possible more quickly to reach the threshold of reversal of the level of pollution than the increase in GDP per capita. This result suggests that to reduce pollution, growth patterns and productive specializations are more important than growth itself and the level of economic development achieved.																			1267-5059	2117-0843					2017		46					21	41																WOS:000434854900003
J	Aluko, OA; Opoku, EEO; Acheampong, AO				Aluko, Olufemi Adewale; Opoku, Eric Evans Osei; Acheampong, Alex O.			Economic complexity and environmental degradation: Evidence from OECD countries	BUSINESS STRATEGY AND THE ENVIRONMENT												We augment the existing knowledge on the role of economic complexity in the environment and sustainable development debate by examining the effect of economic complexity on environmental degradation (measured by ecological footprint, CO2 emissions, N2O emissions and greenhouse gas emissions) contingent on income, using data from 35 OECD countries between 1998 and 2017. With the fixed effects model estimator, we find that income facilitates economic complexity to mitigate ecological footprint, CO2 emissions, N2O emissions and greenhouse gas emissions. Also, we fit a partial linear functional-coefficient model to find that income influences economic complexity to exert a nonlinear effect on ecological footprint, CO2 emissions, N2O emissions and greenhouse gas emissions. We find that economic complexity leads to an increase in ecological footprint, CO2 emissions, N2O emissions and greenhouse gas emissions at lower income levels but gradually dampens them as income rises. Finally, by applying the Method of Moments Quantile regression to control for distributional heterogeneity, we also find that the mitigating effect of economic complexity on ecological footprint, CO2 emissions, N2O emissions and greenhouse gas emissions is transmitted through income across quantiles. The policy implications are discussed.					Opoku, Eric Evans Osei/ABF-4983-2020; Acheampong, Alex O./AFU-9688-2022	Opoku, Eric Evans Osei/0000-0002-4961-5984; Acheampong, Alex O./0000-0002-5462-5466; Aluko, Olufemi/0000-0001-5628-766X													0964-4733	1099-0836				SEP	2023	32	6					2767	2788		10.1002/bse.3269	http://dx.doi.org/10.1002/bse.3269		OCT 2022											WOS:000864331100001
J	Gnangnon, SK				Gnangnon, Sena Kimm			Effect of the utilization of non-reciprocal trade preferences offered by the QUAD countries on beneficiary countries? economic complexity	JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES												This article aims to contribute to the nascent literature on the effect of non-reciprocal trade preferences (NRTPs) on economic complexity in beneficiary countries. It investigates the effect of NRTPs (Generalized Systems of Preferences - GSP - and other trade preferences) offered by the QUAD countries (Canada, the European Union, Japan, and the United States) on the beneficiary countries' levels of economic complexity. The analysis has used a panel dataset of 110 beneficiary countries over the period of 2002-2018, and the two-step system Generalized Method of Moments estimator. Results show that the utilization of NRTPs (either GSP programs or other trade preferences) influences positively economic complexity when beneficiary-countries' shares of exports under the relevant NRTP in total merchandise exports is very high. In addition, GSP programs and other trade preferences jointly promote economic complexity, if the utilization of either NRTP reaches high levels. The utilization of NRTPs also enhances economic complexity in countries that receive high shares of foreign direct investment flows in GDP. Finally, development aid flows are strongly complementary with the utilization of NRTPs in fostering economic complexity, especially when they reach very high amounts. One message conveyed by this analysis is that preference-granting countries (including QUAD countries) should offer both generous NRTPs and high amounts of development aid if NRTPs were to be effective in expanding the manufacturing base in the beneficiary countries, and in particular, in improving their economic complexity.																			0889-1583	1095-8681				SEP	2022	65								101214	10.1016/j.jjie.2022.101214	http://dx.doi.org/10.1016/j.jjie.2022.101214													WOS:000823632600001
J	Lüthge, A				Luethge, Adrian			The concept of relatedness in diversification research: review and synthesis	REVIEW OF MANAGERIAL SCIENCE												Relatedness has become fundamental to the analysis of corporate diversification and a wide range of strategy research. Its broad definition, however, leaves researchers with substantial leeway in theorizing and operationalizing the relatedness construct. While recent advances have contributed to a more sophisticated understanding of how relatedness creates value, the heterogeneity of scholarly efforts leaves relatedness research in a state of terminological, conceptual, and methodological fragmentation and in need of consolidation. This article seeks to close this research gap by taking stock of the extant literature and providing the first systematic review focused exclusively on related diversification. The review identifies and analyzes 82 peer-reviewed scholarly articles published between 1982 and 2017, providing a critical assessment of these research efforts and proposing a holistic relatedness research framework that can serve as a common foundation for future scholarship. The review concludes by offering eight avenues for future research as a contribution to the theoretical literatures on diversification and resource-based theory.																			1863-6683	1863-6691				FEB	2020	14	1					1	35		10.1007/s11846-018-0293-0	http://dx.doi.org/10.1007/s11846-018-0293-0													WOS:000512022700001
J	Hutman, H; Konieczna, KA; Kerner, E; Armstrong, CR; Fitzpatrick, M				Hutman, Heidi; Konieczna, Karolina Anna; Kerner, Emily; Armstrong, Calli Renee; Fitzpatrick, Marilyn			Indicators of Relatedness in Adolescent Male Groups: Toward a Qualitative Description	QUALITATIVE REPORT												Self-determination theorists (SDT) argue that the satisfaction of the need for relatedness is essential for growth and well-being. However, the current research has yet to account for the unique ways in which adolescent males engage in behaviors to fulfill their need for relatedness within their peer groups. This qualitative study investigates relatedness in six 16-to 17-year-old adolescent males. Independent observations of videotape data and a collaborative analysis revealed 13 main indicators of moment-to-moment relatedness. These indicators include expressing belonging, referring to shared experiences, and helping others out. The indicators of relatedness are discussed in the context of SDT, and additional theoretical frameworks provide an integrative understanding of the construct. Implications for research on the need for relatedness across diverse settings and populations are discussed and the utility of the indicators for professionals who work with adolescent males is considered.																			2160-3715					APR 9	2012	17	15							30															WOS:000420529100002
J	Çinar, IT; Korkmaz, I; Baycan, T				Cinar, Ibrahim Tugrul; Korkmaz, Ilhan; Baycan, Tuzin			Regions' economic fitness and sectoral labor productivity: Evidence from Turkey	REGIONAL SCIENCE POLICY AND PRACTICE												Economic fitness is a nonlinear method for measuring countries' and regions' economic complexity. This study aims to measure the economic complexity of regions and its impacts on sectoral labor productivity in Turkey. By developing and employing a regional economic fitness index, the study addresses the agricultural, industrial, and service sectors at the NUTS-2 level to more effectively analyze regions' overall labor productivity. Our findings show that economic fitness positively affects regions' overall labor productivity, and this positive effect mostly stems from the industrial sector. Furthermore, our findings highlight that there is no relationship between the regional fitness index and the agricultural sector.					Çınar, İbrahim Tuğrul/AHC-8107-2022; Çınar, İbrahim Tuğrul/AAW-8376-2021; Baycan, Tuzin/O-5347-2015	Çınar, İbrahim Tuğrul/0000-0001-8913-7166; Çınar, İbrahim Tuğrul/0000-0001-8913-7166; Korkmaz, Ilhan/0000-0002-7503-6505; Baycan, Tuzin/0000-0001-6073-1188													1757-7802					JUN	2022	14	3			SI		575	598		10.1111/rsp3.12529	http://dx.doi.org/10.1111/rsp3.12529		APR 2022											WOS:000779973500001
J	Rossouw, R; Maritz, J				Rossouw, Riaan; Maritz, Johan			Assessing economic vulnerability in South African municipalities: A focus on mining-dependent regions using the Economic Complexity Index	TOWN AND REGIONAL PLANNING												South Africa's historical reliance on mineral resources has established thriving towns and settlements, sustaining households for decades. However, the decline in demand for these resources and mine closures pose significant threats to the future of these areas, creating vulnerabilities in towns and their dependent regions. This article addresses concerns about the vulnerability of certain South African municipalities, particularly those heavily dependent on mining. Employing an Economic Complexity Index (ECI), the study identifies and classifies vulnerable mining towns and regions. The methodology involves applying the concept of economic vulnerability, utilising sub-national economic and trade data to determine the complexity of municipal economies. In addition, geospatially linked data is employed to identify mining dependent areas at risk. The results highlight municipalities with low economic complexity, signalling the need for targeted interventions and emphasising importance of economic diversification in mitigating risks. The study not only serves as a warning for current planning, but also lays the groundwork for future research and evidence-based policymaking to ensure the sustainability and resilience regional economies in South Africa.																			1012-280X	2415-0495					2023	83						57	67		10.38140/trp.83i.6696	http://dx.doi.org/10.38140/trp.83i.6696													WOS:001150189300001
J	Burlina, C; Casadei, P; Crociata, A				Burlina, Chiara; Casadei, Patrizia; Crociata, Alessandro			Economic complexity and firm performance in the cultural and creative sector: Evidence from Italian provinces	EUROPEAN URBAN AND REGIONAL STUDIES												Several studies have detected a positive relationship between the spatial dynamics of cultural and creative industries (CCIs) and their social and economic outcomes. In this article, we draw upon the Economic Complexity Index (ECI) as a proxy to capture the social interactive nature that characterises CCIs and the way this affects firm performance. Our assumption is that more complex locations, endowed with different types of more sophisticated production capabilities, allow CCI firms to perform more strongly. This can depend on the higher opportunities of complex knowledge sharing and cross-fertilisation processes among different types of CCI firms or with non-CCI firms. The focus is on Italy, a country with a long-standing historical tradition in culture and creativity. We draw upon an original panel database at firm and province level (for the period 2010-2016) to compute two different ECIs, one for the CCIs and another one for the rest of the economy. Moreover, we analyse the effects these two types of complexity on the performance of firms within sectors with different levels of cultural and commercial value. We find that economic complexity of CCIs but not economic complexity of the rest of the economy matters for CCI firm performance. However, the effect is relatively weak. The same finding applies to all CCI firms, irrespective of their type of sector. Policy implications and directions for future research are discussed.					Casadei, Patrizia/ABU-3602-2022; Burlina, Chiara/AAL-3797-2020	Casadei, Patrizia/0000-0001-8972-5726; Burlina, Chiara/0000-0002-1914-8772; Crociata, Alessandro/0000-0002-2408-3934													0969-7764	1461-7145				APR	2023	30	2					152	171		10.1177/09697764221125336	http://dx.doi.org/10.1177/09697764221125336		SEP 2022											WOS:000860975900001
J	Wang, BX; Zhao, WJ; Yang, XD				Wang, Baixun; Zhao, Wenjuan; Yang, Xiaodong			Do economic complexity and trade diversification promote green growth in the BRICTS region? Evidence from advanced panel estimations	ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA												Green growth is a comprehensive and integrated approach that ensures the potential economic deliverables of the natural capital on a sustainable basis. Existing studies have explored various deriving factors of green growth. However, none of the studies has evaluated the combined effect of economic complexity, trade diversification, renewable energy consumption, and environment-related taxes to promote green growth. Therefore, this study quantified the impact of these variables on achieving green growth goals for BRICTS countries (Brazil, Russian Federation, India, China, Turkey, and South Africa) from 1995 to 2018. The study addressed the potential econometric issues of panel data, such as cross-section dependency, slope heterogeneity, data nonstationary through robust testing. Cross-Sectional ARDL has been applied to investigate the long-run and short-run association among the study variables. The findings suggest that economic complexity, trade diversification, renewable energy consumption, and environment-related taxes significantly drive green growth in BRICTS countries. However, their marginal contribution substantially varied. Similar results are endorsed using alternative estimators and offer pertinent policy implications.					WANG, Baixun/ADT-6614-2022	WANG, Baixun/0000-0002-5307-8464													1331-677X	1848-9664				2022 OCT 28	2022										10.1080/1331677X.2022.2142148	http://dx.doi.org/10.1080/1331677X.2022.2142148		OCT 2022											WOS:000893414900001
J	Lee, CC; Wang, EZ				Lee, Chien-Chiang; Wang, En-Ze			Economic Complexity and Income Inequality: Does Country Risk Matter?	SOCIAL INDICATORS RESEARCH												This research sets out to determine the nexus among economic complexity (ECI; which reflects a country's productivity), income inequality, and country risk and whether country risk affects the complexity-inequality nexus. By applying balanced panel data of 43 countries from 1991 to 2016 to a data-driven econometric methodology-finite mixture model, we provide fresh insight into this relationship from the perspective of country risk. The results indicate that the two-group finite mixture model is able to best fit our data, and that increasing economic complexity has no impact on income inequality in group A, whereas improving the structure of productivity mitigates the income gap in group B. Furthermore, country risk and the subcomponents of the former (i.e., economic risk, financial risk, and political risk) all exert effects on the complexity-inequality nexus. Specifically speaking, an increase in ECI is associated with more equal income distribution in a country with low country risk, while the improvement in productive structure cannot improve an unequal income distribution in countries under high country risk. Finally, it is noteworthy that the finite mixture model also captures information about the transformation of this nexus, with evidence demonstrating that 5 countries experience a variation in their complexity-inequality relationship over the sample period.					Wang, En-Ze/AAQ-4630-2021; Lee, Chien-Chiang/AAZ-9983-2020	Wang, En-Ze/0000-0003-4713-0059; Lee, Chien-Chiang/0000-0003-0037-4347													0303-8300	1573-0921				FEB	2021	154	1					35	60		10.1007/s11205-020-02543-0	http://dx.doi.org/10.1007/s11205-020-02543-0		NOV 2020											WOS:000587976000001
J	Puozzo, IC				Puozzo, Isabelle Capron			2018 - " When Artemis Meets Hermes: Trust and Relatedness to be Tested "	RECHERCHE ET PRATIQUES PEDAGOGIQUES EN LANGUES DE SPECIALITE-CAHIERS DE L APLIUT												Trust and relatedness are two concepts which are interesting to analyze together in conceptual and empirical ways. In fact, the link between the two constructs a new reflection about the concept, already well known, of self-trust, exploring the role of the capacity to rely on yourself and on the others. At the same time, the concept of relatedness uplifts the debate of the belief in the others such as your teacher or your peers. This theoretical article aims, first, to define the concepts and second, to suggest some processes to question the concepts in the context of language learning.																			2257-5405	2119-5242					2021	40	2							8421	10.4000/apliut.8421	http://dx.doi.org/10.4000/apliut.8421													WOS:000737634700039
J	Chang, HS; Donohoe, M; Sougiannis, T				Chang, Hye Sun; Donohoe, Michael; Sougiannis, Theodore			Do analysts understand the economic and reporting complexities of derivatives?	JOURNAL OF ACCOUNTING & ECONOMICS												We investigate whether and how the complexity of derivatives influences analysts' earnings forecast properties. Using a difference-in-differences design, we find that, relative to a matched control sample of non-users, analysts' earnings forecasts for new derivatives users are less accurate and more dispersed after derivatives initiation. These results do not appear to be driven by the economic complexity of derivatives, but rather the financial reporting of such economic complexity. Overall, despite their financial expertise, analysts routinely misjudge the earnings implications of firms' derivatives activity. However, we find evidence that a series of derivatives accounting standards has helped analysts improve their forecasts over time. (C) 2015 Elsevier B.V. All rights reserved.					CHANG, Hye Sun/H-1131-2015	Chang, Hye Sun/0009-0000-5449-4454													0165-4101	1879-1980				APR-MAY	2016	61	2-3					584	604		10.1016/j.jacceco.2015.07.005	http://dx.doi.org/10.1016/j.jacceco.2015.07.005													WOS:000376815700017
J	Lüthge, A; Pidun, U; zu Knyphausen-Aufsess, D				Luethge, Adrian; Pidun, Ulrich; Knyphausen-Aufsess, Dodo zu			Approximating relatedness from a business model perspective: towards a taxonomic approach	REVIEW OF MANAGERIAL SCIENCE												Despite sustained scholarly efforts for almost half a century, the definition and measurement of "relatedness" as a key concept in diversification research are impeded by a whole bunch of conceptual and methodical limitations. This article attempts to rectify three major concerns voiced by diversification scholars. First, the distinction between industries, devised in the industrial era, is blurring in today's business environment, making their use for the study of diversification problematic. Second, most conceptualizations of relatedness employ a particularistic perspective and are thus bound to miss central aspects that are outside the scope of their theoretical vantage point. Third, the increasingly pervasive consensus that relatedness should be viewed as a multifaceted construct has not been adequately captured so far. To overcome these limitations, this study draws on the burgeoning concept of the business model as a new and more meaningful way to capture relatedness. The viability of the resulting construct, business model relatedness, is explored both conceptually and by a first empirical test. This study contributes to two theoretical strands of literature: In the field of diversification, it proposes an innovative way to conceptualize relatedness that is based on a taxonomic-as opposed to a typological-approach and that promises to better reflect firms' actual diversification logics; in business model research, it introduces a novel approach to investigating the performance implications of managing multiple business models.																			1863-6683	1863-6691				APR	2021	15	3					813	846		10.1007/s11846-019-00375-y	http://dx.doi.org/10.1007/s11846-019-00375-y		JAN 2020											WOS:000574070000001
J	Ulucak, R; Danish; Zhang, YQ; Chen, R; Qiu, YT				Ulucak, Recep; Danish; Zhang, Yaoqi; Chen, Rui; Qiu, Yiting			Income Inequality, Economic Complexity, and Renewable Energy Impacts in Controlling Consumption-Based Carbon Emissions	EVALUATION REVIEW												Although many studies have been conducted on the role of renewable energy in the environment, literature has ignored the potential role of socioeconomic indicators in renewable energy and pollution nexus. Also, critical questions arose with the critical factors, such as income inequality and economic complexity, have not been answered properly. This study explores the nexus between income inequality, economic complexity, renewable energy consumption, GDP per capita, and pollution and thus aims to reach efficient policy strategies by revealing empirical evidence. The study follows an environmental impact model structure and conducts the panel-corrected standard errors and fixed effect regression. BRICS countries (Brazil, Russia, India, China, and South Africa) are selected to conduct our research. Annual data covering the period 1990-2017 for the sample countries are employed. Consumption-based carbon dioxide emissions as an indicator of environmental pollution are used since income inequality makes more sense in terms of the consumption side of an economy and is more related to consumers rather than the production sector. The obtained results reveal that income inequality has a positive and significant impact on consumption-based carbon dioxide emissions. However, GDP per capita, renewable energy, and economic complexity reduce pollution. It is also observed that the interaction term of inequality and renewable energy decreases emissions. Findings confirm that socioeconomic indicators, such as economic complexity and income inequality with the interaction of renewable energy, are crucial factors in reducing emissions and designing a greener future.					-, Danish/AEV-8555-2022; ULUCAK, RECEP/G-2912-2018	-, Danish/0000-0003-1046-1655; ULUCAK, RECEP/0000-0001-9938-0063													0193-841X	1552-3926				FEB	2024	48	1			SI		119	142		10.1177/0193841X231173766	http://dx.doi.org/10.1177/0193841X231173766		MAY 2023						37154303					WOS:000983355800001
J	Puozzo, IC				Puozzo, Isabelle Capron			When Artemis Meets Hermes: Trust and Relatedness to be Tested	RECHERCHE ET PRATIQUES PEDAGOGIQUES EN LANGUES DE SPECIALITE-CAHIERS DE L APLIUT												Trust and relatedness are two concepts which are interesting to analyze together in conceptual and empirical ways. In fact, the link between the two constructs a new reflection about the concept, already well known, of self-trust, exploring the role of the capacity to rely on yourself and on the others. At the same time, the concept of relatedness uplifts the debate of the belief in the others such as your teacher or your peers. This theoretical article aims, first, to define the concepts and second, to suggest some processes to question the concepts in the context of language learning.																			2257-5405	2119-5242					2018	37	1								10.4000/apliut.5824	http://dx.doi.org/10.4000/apliut.5824													WOS:000430313000003
C	Yun, JL; Jing, LP; Yu, J; Huang, HK		Huang, JZ; Cao, L; Srivastava, J		Yun, Jiali; Jing, Liping; Yu, Jian; Huang, Houkuan			Unsupervised Feature Weighting Based on Local Feature Relatedness	ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING, PT I: 15TH PACIFIC-ASIA CONFERENCE, PAKDD 2011	Lecture Notes in Artificial Intelligence				15th Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD)	MAY 24-27, 2011	Shenzhen, PEOPLES R CHINA	Shenzhen Inst Adv Technol, Chinese Acad Sci, Univ Hong Kong, Univ Technol Sydney				Feature weighting plays an important role in text clustering. Traditional feature weighting is determined by the syntactic relationship between feature and document (e.g. TF-IDF). In this paper, a semantically enriched feature weighting approach is proposed by introducing the semantic relationship between feature and document, which is implemented by taking account of the local feature relatedness - the relatedness between feature and its contextual features within each individual document. Feature relatedness is measured by two methods, document collection-based implicit relatedness measure and Wikipedia link-based explicit relatedness measure. Experimental results on benchmark data sets show that the new feature weighting approach surpasses traditional syntactic feature weighting. Moreover, clustering quality can be further improved by linearly combining the syntactic and semantic factors. The new feature weighting approach is also compared with two existing feature relatedness-based approaches which consider the global feature relatedness (feature relatedness in the entire feature space) and the inter-document feature relatedness (feature relatedness between different documents) respectively. In the experiments, the new feature weighting approach outperforms these two related work in clustering quality and costs much less computational complexity.					Yu, Jian/HJY-2670-2023														0302-9743		978-3-642-20840-9				2011	6634		1				38	49																WOS:000312259200004
